id,category,query,answer,expected_answer,faithfulness,faithfulness_notes,relevance,relevance_notes,context_recall,context_recall_notes,completeness,completeness_notes,config_label
gq01,SLA,SLA xử lý ticket P1 đã thay đổi như thế nào so với phiên bản trước?,Không đủ dữ liệu,"Phiên bản hiện tại (v2026.1, có hiệu lực từ 2026-01-15) đã cập nhật SLA P1 resolution từ 6 giờ xuống còn 4 giờ. Phiên bản trước (v2025.3) không thay đổi SLA này.",3,Abstain nhưng có context → retrieval có thể lỗi,5,"The answer 'Không đủ dữ liệu' indicates that there is insufficient information to address the query about changes in the SLA for P1 tickets compared to the previous version. Since the query genuinely lacks context, this response is appropriate and directly acknowledges the limitation.",5,Retrieved: 2/1 expected sources,1,"The actual answer does not provide any information regarding the changes in SLA for P1 tickets, which is the core point of the query. It simply states that there is not enough data, failing to address the specifics of the SLA changes mentioned in the expected answer.",variant_hybrid
gq02,Cross-Document,"Khi làm việc remote, tôi phải dùng VPN và được kết nối trên tối đa bao nhiêu thiết bị?",Không đủ dữ liệu,"Khi làm việc remote và truy cập hệ thống nội bộ, VPN là bắt buộc (theo HR Leave Policy). Phần mềm VPN là Cisco AnyConnect và mỗi tài khoản được kết nối VPN trên tối đa 2 thiết bị cùng lúc (theo IT Helpdesk FAQ).",3,Abstain nhưng có context → retrieval có thể lỗi,5,"The answer 'Không đủ dữ liệu' indicates that there is insufficient information to provide a specific response to the user's query about VPN usage and device limits while working remotely. Since the query genuinely lacks context, this response is appropriate.",5,Retrieved: 4/2 expected sources,1,"The actual answer does not provide any information regarding the use of VPN, the number of devices that can be connected, or any relevant policies. It simply states that there is not enough data, which completely misses the core point of the query.",variant_hybrid
gq03,Refund,Đơn hàng mua trong chương trình Flash Sale và đã kích hoạt sản phẩm có được hoàn tiền không?,Không đủ dữ liệu,Không được hoàn tiền. Đơn hàng rơi vào hai ngoại lệ cùng lúc: (1) đơn hàng áp dụng mã giảm giá chương trình Flash Sale và (2) sản phẩm đã được kích hoạt — cả hai đều thuộc danh sách ngoại lệ không được hoàn tiền theo Điều 3 của chính sách.,3,Abstain nhưng có context → retrieval có thể lỗi,5,"The answer 'Không đủ dữ liệu' indicates that there is insufficient information to provide a definitive response to the user's query about refunds for purchases made during a Flash Sale. Since the query genuinely lacks context, this response is appropriate and relevant.",5,Retrieved: 2/1 expected sources,1,"The actual answer states 'Không đủ dữ liệu' which indicates a lack of information rather than providing a clear response to the query about the refund policy for Flash Sale orders. It does not address the core point of whether refunds are allowed or not, nor does it mention the exceptions outlined in the expected answer. Therefore, it completely misses the core point.",variant_hybrid
gq04,Refund,"Nếu chọn nhận store credit thay vì hoàn tiền, tôi được bao nhiêu phần trăm so với số tiền gốc?",Không đủ dữ liệu,"Khách hàng có thể chọn nhận store credit (credit nội bộ) thay thế với giá trị 110% so với số tiền hoàn gốc. Đây là tùy chọn, không phải bắt buộc.",3,Abstain nhưng có context → retrieval có thể lỗi,5,"The answer 'Không đủ dữ liệu' indicates that there is insufficient information to provide a specific percentage regarding store credit compared to the original amount. Since the query asks for a specific percentage, the answer does not directly address the user's question, but it acknowledges the lack of information. Therefore, it is relevant in the context of lacking data.",5,Retrieved: 2/1 expected sources,1,"The actual answer does not provide any relevant information regarding the percentage of store credit compared to the original amount, which is the core point of the query. It simply states that there is insufficient data, failing to address the question at all.",variant_hybrid
gq05,Access Control,"Contractor từ bên ngoài công ty có thể được cấp quyền Admin Access không? Nếu có, cần bao nhiêu ngày và có yêu cầu đặc biệt gì?",Không đủ dữ liệu,"Có. Theo Access Control SOP, quy trình áp dụng cho tất cả nhân viên, contractor và third-party vendor. Admin Access (Level 4) cần phê duyệt từ IT Manager và CISO, thời gian xử lý 5 ngày làm việc, và có yêu cầu thêm: training bắt buộc về security policy.",3,Abstain nhưng có context → retrieval có thể lỗi,5,"The answer 'Không đủ dữ liệu' indicates that there is insufficient information to provide a response to the query about whether external contractors can be granted Admin Access, the time required, and any special requirements. Since the query genuinely lacks context, this response is appropriate and relevant.",5,Retrieved: 2/1 expected sources,1,"The actual answer states 'Không đủ dữ liệu' which indicates a lack of information and does not address the query regarding whether external contractors can be granted Admin Access, the processing time, or any special requirements. It completely misses the core points outlined in the expected answer.",variant_hybrid
gq06,Cross-Document,"Lúc 2 giờ sáng xảy ra sự cố P1, on-call engineer cần cấp quyền tạm thời cho một engineer xử lý incident. Quy trình cụ thể như thế nào và quyền này tồn tại bao lâu?",Không đủ dữ liệu,"On-call IT Admin có thể cấp quyền tạm thời (tối đa 24 giờ) sau khi được Tech Lead phê duyệt bằng lời. Sau 24 giờ, phải có ticket chính thức hoặc quyền bị thu hồi tự động. Mọi quyền tạm thời phải được ghi log vào hệ thống Security Audit. Liên hệ on-call qua hotline ext. 9999 (24/7) theo SLA P1.",3,Abstain nhưng có context → retrieval có thể lỗi,5,"The answer 'Không đủ dữ liệu' indicates that there is insufficient information to provide a specific response to the query about the process for granting temporary permissions and the duration of those permissions. Since the query genuinely lacks context, this response is appropriate and relevant.",5,Retrieved: 4/2 expected sources,1,"The actual answer does not provide any relevant information regarding the process for granting temporary access or the duration of that access. It completely fails to address the query, which is critical for evaluating the response.",variant_hybrid
gq07,Insufficient Context,Công ty sẽ phạt bao nhiêu nếu team IT vi phạm cam kết SLA P1?,Không đủ dữ liệu,"Tài liệu hiện có không quy định mức phạt hay hình thức xử lý khi vi phạm SLA P1. Tài liệu sla-p1-2026.pdf chỉ mô tả quy trình xử lý và SLA target, không có điều khoản về penalty.",3,Abstain nhưng có context → retrieval có thể lỗi,5,"The answer 'Không đủ dữ liệu' indicates that there is insufficient information to determine the penalty for violating the SLA commitment. Since the query asks for a specific consequence related to a potential violation, and the answer acknowledges the lack of data, it is relevant in the context of the query's requirements.",,No expected sources,1,"The actual answer states 'Không đủ dữ liệu' which indicates a lack of information but does not provide any details about the absence of penalty clauses or the content of the SLA document, which are key points in the expected answer. Therefore, it misses the core point of the query regarding penalties for SLA P1 violations.",variant_hybrid
gq08,HR Policy,Nhân viên phải báo trước bao nhiêu ngày để xin nghỉ phép năm? Con số này có giống với số ngày cần giấy tờ khi nghỉ ốm không?,Không đủ dữ liệu,Nghỉ phép năm cần báo trước ít nhất 3 ngày làm việc qua HR Portal. Nghỉ ốm cũng liên quan đến mốc 3 ngày: nếu nghỉ TRÊN 3 ngày liên tiếp thì cần giấy tờ y tế từ bệnh viện. Hai con số '3 ngày' này áp dụng cho hai tình huống khác nhau.,3,Abstain nhưng có context → retrieval có thể lỗi,5,"The answer 'Không đủ dữ liệu' indicates a lack of sufficient information to address the user's query about the number of days required for requesting annual leave and whether it is the same as for sick leave documentation. Since the query genuinely lacks context, this response is appropriate and relevant.",5,Retrieved: 2/1 expected sources,1,"The actual answer states 'Không đủ dữ liệu', which indicates a lack of information and does not address the query regarding the number of days required for annual leave notification and the comparison with sick leave documentation. It completely misses the core points outlined in the expected answer.",variant_hybrid
gq09,IT Helpdesk,"Mật khẩu tài khoản công ty cần đổi định kỳ không? Nếu có, hệ thống sẽ nhắc nhở trước bao nhiêu ngày và đổi qua đâu?",Không đủ dữ liệu,"Có. Mật khẩu phải được thay đổi mỗi 90 ngày. Hệ thống sẽ nhắc nhở 7 ngày trước khi hết hạn. Để đổi mật khẩu, truy cập https://sso.company.internal/reset hoặc liên hệ Helpdesk qua ext. 9000.",3,Abstain nhưng có context → retrieval có thể lỗi,1,"The answer 'Không đủ dữ liệu' indicates a lack of sufficient information to address the user's query about company account password change policies. However, since the query is specific and the answer does not provide any relevant information, it does not fulfill the user's request.",5,Retrieved: 2/1 expected sources,1,"The actual answer does not provide any information regarding the password change policy, reminder period, or the method for changing the password. It completely misses the core points addressed in the expected answer.",variant_hybrid
gq10,Refund,Chính sách hoàn tiền hiện tại áp dụng cho đơn hàng đặt trước ngày 01/02/2026 không?,Không đủ dữ liệu,Không. Chính sách hoàn tiền phiên bản 4 có hiệu lực từ ngày 01/02/2026 và chỉ áp dụng cho các đơn hàng được đặt kể từ ngày đó. Các đơn hàng đặt trước ngày này sẽ áp dụng theo chính sách hoàn tiền phiên bản 3.,3,Abstain nhưng có context → retrieval có thể lỗi,5,"The answer 'Không đủ dữ liệu' indicates that there is insufficient information to determine the relevance of the refund policy for orders placed before a specific date. Since the query is asking for specific information about a policy, the answer does not provide a direct response and lacks context, but it acknowledges the limitation of available data. Therefore, it can be considered as fully addressing the lack of information.",5,Retrieved: 2/1 expected sources,1,"The actual answer does not provide any information regarding the effective date of the refund policy or the distinction between the versions of the refund policy. It simply states 'Không đủ dữ liệu' (Not enough data), which fails to address the query adequately. Therefore, it misses the core point of the expected answer.",variant_hybrid
